web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,position,position2,position3,position4,image,image2,image3,item_page_title,item_page_link,image_0
"1778040255-21","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1227","1817","$1395","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1227%2FPlan1421227MainImage_7_1_2020_3.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1817-square-feet-3-bedroom-2-bathroom-european-style-31769","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1227%2FPlan1421227Image_7_1_2020_332_30.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1227%2FPlan1421227Image_26_10_2021_1947_40.jpg&w=1920&q=100"
"1778040258-22","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1236","1257","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","2","2","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1236%2FPlan1421236MainImage_15_4_2020_22.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31846","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1236%2FPlan1421236Image_15_4_2020_2235_39.jpg&w=1920&q=100"
"1778040262-23","https://www.theplancollection.com/collections/one-story-house-plans","","#177-1054","624","$1195","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","1","1","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1054%2FPlan1771054MainImage_24_8_2021_14.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-624-square-feet-1-bedroom-1-bathroom-ranch-style-31764","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1054%2FPlan1771054Image_29_12_2019_2249_54.jpg&w=1920&q=100"
"1778040266-24","https://www.theplancollection.com/collections/one-story-house-plans","","#141-1023","2000","$1400","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F141%2F1023%2FPlan1411023MainImage_13_2_2018_14.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-16284","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F141%2F1023%2FPlan1411023Image_13_2_2018_1441_12.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F141%2F1023%2FPlan1411023Image_13_2_2018_1441_29.jpg&w=1920&q=100"
"1778040269-25","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1230","1706","$1395","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1230%2FPlan1421230MainImage_7_2_2020_3.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31790","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1230%2FPlan1421230Image_9_12_2020_841_32.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1230%2FPlan1421230Image_9_12_2020_842_11.jpg&w=1920&q=100"
"1778040272-26","https://www.theplancollection.com/collections/one-story-house-plans","","#177-1056","1024","$1195","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","1","1","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1056%2FPlan1771056MainImage_22_1_2024_14.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-32014","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1056%2FPlan1771056Image_22_1_2024_142_53.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1056%2FPlan1771056Image_22_1_2024_143_18.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1056%2FPlan1771056Image_18_12_2024_1246_34.jpg&w=1920&q=100"
"1778040275-27","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1470","2000","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1470%2FPlan1421470MainImage_27_7_2023_14.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-2000-square-feet-3-bedroom-2-5-bathroom-barndominium-style-33494","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1470%2FPlan1421470Image_27_7_2023_1436_28.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1470%2FPlan1421470Image_18_10_2023_1421_10.jpg&w=1920&q=100"
"1778040279-28","https://www.theplancollection.com/collections/one-story-house-plans","","#206-1049","1676","$1245","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1049%2FPlan2061049MainImage_26_5_2021_11.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1676-square-feet-3-bedroom-2-bathroom-modern-farmhouse-style-32577","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1049%2FPlan2061049Image_26_5_2021_1157_55.jpg&w=1920&q=100"
"1778040282-29","https://www.theplancollection.com/collections/one-story-house-plans","","#178-1175","1260","$1045","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F178%2F1175%2FPlan1781175MainImage_18_7_2016_14.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1260-square-feet-3-bedroom-2-bathroom-country-style-11731","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F178%2F1175%2F178-1175%20FIRST%20FLOOR%20PLAN.jpg&w=1920&q=100"
"1778040286-30","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1266","2243","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1266%2FPlan1421266MainImage_12_6_2021_3.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-2243-square-feet-3-bedroom-2-5-bathroom-ranch-style-32579","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1266%2FPlan1421266Image_12_6_2021_326_45.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1266%2FPlan1421266Image_12_6_2021_323_38.jpg&w=1920&q=100"
"1778040289-31","https://www.theplancollection.com/collections/one-story-house-plans","","#123-1102","1320","$990","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1102%2FPlan1231102MainImage_10_7_2019_20.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1320-square-feet-3-bedroom-2-bathroom-ranch-style-31434","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1102%2FPlan1231102Image_10_7_2019_2034_38.jpg&w=1920&q=100"
"1778040293-32","https://www.theplancollection.com/collections/one-story-house-plans","","#120-2545","1763","$1255","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F120%2F2545%2FPlan1202545MainImage_14_3_2018_8.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1763-square-feet-3-bedroom-2-5-bathroom-country-style-30669","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F120%2F2545%2FPlan1202545Image_14_3_2018_90_3.jpg&w=1920&q=100"
"1778040297-33","https://www.theplancollection.com/collections/one-story-house-plans","","#161-1134","3063","$1950","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F161%2F1134%2FPlan1611134MainImage_25_9_2020_9.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-3063-square-feet-3-bedroom-2-5-bathroom-rustic-style-32088","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F161%2F1134%2FPlan1611134Image_17_8_2022_943_26.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F161%2F1134%2FPlan1611134Image_17_8_2022_944_5.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F161%2F1134%2FORIGINAL%20The%20Carlson%20Creek%20Lower%20Floor%20Mrktg.jpg&w=1920&q=100"
"1778040302-34","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1204","2373","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","4","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1204%2FPlan1421204MainImage_27_4_2022_11.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-30996","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1204%2FPlan1421204Image_4_12_2018_123_14.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1204%2FPlan1421204Image_4_12_2018_122_56.jpg&w=1920&q=100"
"1778040306-35","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1213","2358","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","3","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1213%2FPlan1421213MainImage_18_10_2024_11.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31454","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1213%2FPlan1421213Image_18_10_2024_1149_16.jpeg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1213%2FPlan1421213Image_18_10_2024_1154_10.jpeg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1213%2FPlan1421213Image_18_10_2024_1150_3.jpeg&w=1920&q=100"
"1778040310-36","https://www.theplancollection.com/collections/one-story-house-plans","","#206-1035","2716","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","4","3","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1035%2FPlan2061035MainImage_9_1_2021_0.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-2716-square-feet-4-bedroom-3-bathroom-modern-farmhouse-style-32249","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1035%2FPlan2061035Image_9_1_2021_118_36.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1035%2FPlan2061035Image_11_5_2021_133_13.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1035%2FPlan2061035Image_9_1_2021_112_11.jpg&w=1920&q=100"
"1778040314-37","https://www.theplancollection.com/collections/one-story-house-plans","","#123-1100","1311","$990","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1100%2FPlan1231100MainImage_10_10_2024_13.png&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31432","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1100%2FPlan1231100Image_10_7_2019_1959_6.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1100%2FPlan1231100Image_20_1_2022_945_19.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1100%2FPlan1231100Image_20_1_2022_945_52.jpg&w=1920&q=100"
"1778040318-38","https://www.theplancollection.com/collections/one-story-house-plans","","#141-1324","872","$900","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","1","1","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F141%2F1324%2FPlan1411324MainImage_3_4_2021_3.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-872-square-feet-1-bedroom-1-5-bathroom-small-house-plans-style-32514","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F141%2F1324%2FPlan1411324Image_3_4_2021_328_28.jpg&w=1920&q=100"
"1778040321-39","https://www.theplancollection.com/collections/one-story-house-plans","","#117-1139","1988","$1295","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1139%2FPlan1171139MainImage_25_8_2025_12.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31743","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1139%2FPlan1171139Image_20_12_2019_1136_13.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1139%2FPlan1171139Image_20_12_2019_1136_44.jpg&w=1920&q=100"
